vendor_number,VendorName,brand,TotalSalesDollars,TotalSalesQuantity,TotalSalesPrice,TotalExciseTax,TotalPurchaseDollars,TotalPurchaseQuantity,VendorPurchasePrice,ActualProductPrice,TotalFreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
2,"IRA GOLDMAN AND WILLIAMS, LLP",90085,517.86,14.0,221.94000000000003,1.5600000000000003,190.88,8,23.86,23.86,27.08,326.98,63.14061715521569,1.75,2.713013411567477
388,ATLANTIC IMPORTING COMPANY,2119,6524.239999999994,76.0,4289.4999999999945,59.93999999999997,2589.6,39,66.4,66.4,211.7400000000001,3934.6399999999944,60.30802055105266,1.9487179487179487,2.5194006796416413
388,ATLANTIC IMPORTING COMPANY,7241,2769.109999999999,89.0,2179.2799999999993,9.830000000000005,641.0799999999999,31,20.68,20.68,211.7400000000001,2128.0299999999993,76.8488792427892,2.870967741935484,4.319445311037623
480,BACARDI USA INC,129,188.94,6.0,156.95,6.3,99.96,4,24.99,24.99,89286.26999999999,88.98,47.09431565576374,1.5,1.89015606242497
480,BACARDI USA INC,540,4291.649999999883,4335.0,1823.5800000000152,223.48000000000062,253.44,352,0.72,0.72,89286.26999999999,4038.209999999883,94.09457900807365,12.315340909090908,16.933593749999538
480,BACARDI USA INC,805,362.89000000000004,11.0,230.93000000000004,11.550000000000002,263.9,10,26.39,26.39,89286.26999999999,98.99000000000007,27.278238584695103,1.1,1.3751042061386891
480,BACARDI USA INC,810,34799.41000000071,2859.0,23317.090000000742,2252.8799999999605,16414.770000000033,2283,7.19,7.19,89286.26999999999,18384.640000000676,52.830320973833466,1.252299605781866,2.1200059458646474
480,BACARDI USA INC,973,2113.59,141.0,1289.1400000000006,111.14000000000007,249.9,21,11.9,11.9,89286.26999999999,1863.69,88.17651483968035,6.714285714285714,8.457743097238897
480,BACARDI USA INC,1020,1319.4800000000002,52.0,969.6200000000002,41.00999999999998,36.22,2,18.11,18.11,89286.26999999999,1283.2600000000002,97.25497923424379,26.0,36.429596907785765
480,BACARDI USA INC,1047,275.94,6.0,137.97,4.73,212.28,6,35.38,35.38,89286.26999999999,63.66,23.070232659273753,1.0,1.299886941775014
480,BACARDI USA INC,1414,869.6500000000001,35.0,319.87000000000006,27.569999999999993,71.4,5,14.28,14.28,89286.26999999999,798.2500000000001,91.7898004944518,7.0,12.179971988795518
480,BACARDI USA INC,1757,2079.87,13.0,799.95,10.239999999999998,1634.92,14,116.78,116.78,89286.26999999999,444.9499999999998,21.393163995826654,0.9285714285714286,1.2721539891860152
480,BACARDI USA INC,2184,6071.959999999979,404.0,2489.3499999999945,318.3499999999998,3294.3999999999996,290,11.36,11.36,89286.26999999999,2777.5599999999795,45.74404310963822,1.393103448275862,1.8431155900922718
480,BACARDI USA INC,2200,5485.3599999999815,364.0,2382.429999999996,286.88999999999965,2899.82,269,10.78,10.78,89286.26999999999,2585.5399999999813,47.13528373707451,1.3531598513011152,1.8916208592257386
480,BACARDI USA INC,2502,3429.019999999997,98.0,2204.3699999999994,77.26999999999998,80.76,3,26.92,26.92,89286.26999999999,3348.2599999999966,97.64480813760198,32.666666666666664,42.45938583457153
480,BACARDI USA INC,2679,33993.31000000049,1669.0,24532.960000000487,1315.9899999999834,3227.28,226,14.28,14.28,89286.26999999999,30766.030000000494,90.50613194184399,7.384955752212389,10.533114573263086
480,BACARDI USA INC,2863,6628.579999999981,142.0,5918.729999999982,112.09000000000027,6284.22,183,34.34,34.34,89286.26999999999,344.3599999999806,5.195079489121072,0.7759562841530054,1.054797572331965
480,BACARDI USA INC,2916,5771.119999999988,88.0,5707.129999999988,69.50999999999999,5269.600000000002,112,47.05,47.05,89286.26999999999,501.5199999999859,8.690167593118614,0.7857142857142857,1.0951723090936667
480,BACARDI USA INC,2933,12793.459999999957,254.0,11553.70999999996,200.45999999999972,7581.6,195,38.88,38.88,89286.26999999999,5211.859999999957,40.738471062558325,1.3025641025641026,1.6874353698427715
480,BACARDI USA INC,3185,8693.149999999976,185.0,7001.5099999999775,340.1299999999993,1165.8899999999999,33,35.33,35.33,89286.26999999999,7527.259999999977,86.58840581377288,5.606060606060606,7.45623515082896
480,BACARDI USA INC,3199,7048.499999999979,150.0,5591.809999999984,275.80000000000007,2366.7,69,34.3,34.3,89286.26999999999,4681.799999999979,66.4226431155564,2.1739130434782608,2.978197490176186
480,BACARDI USA INC,3475,359.88,12.0,209.93,9.46,156.66,7,22.38,22.38,89286.26999999999,203.22,56.468822940980324,1.7142857142857142,2.2972041363462274
480,BACARDI USA INC,3611,329.78,22.0,29.98,8.66,165.0,30,5.5,5.5,89286.26999999999,164.77999999999997,49.96664442961974,0.7333333333333333,1.9986666666666666
480,BACARDI USA INC,3613,2069.77,23.0,1529.83,18.119999999999997,135.32,2,67.66,67.66,89286.26999999999,1934.45,93.46207549631119,11.5,15.295373928465859
480,BACARDI USA INC,3615,1958.6000000000006,140.0,587.5800000000003,110.26000000000003,1013.8400000000001,92,11.02,11.02,89286.26999999999,944.7600000000004,48.23649545593792,1.5217391304347827,1.931863015860491
480,BACARDI USA INC,3778,7988.299999999983,170.0,5779.769999999983,312.4899999999997,857.5,25,34.3,34.3,89286.26999999999,7130.799999999983,89.26555086814464,6.8,9.315801749271117
480,BACARDI USA INC,4025,5114.0299999999315,2857.0,2380.699999999965,147.07999999999828,4379.889999999999,3197,1.37,1.37,89286.26999999999,734.1399999999321,14.35541050795443,0.8936502971535815,1.1676160816824013
480,BACARDI USA INC,4028,195.85999999999999,14.0,27.98,11.02,95.88,12,7.99,7.99,89286.26999999999,99.97999999999999,51.046665985908305,1.1666666666666667,2.0427617855652898
480,BACARDI USA INC,4042,2870.0099999999684,2899.0,1287.0000000000102,149.17999999999859,167.75999999999996,233,0.72,0.72,89286.26999999999,2702.2499999999686,94.1547241995672,12.44206008583691,17.107832618025565
480,BACARDI USA INC,4160,7071.749999999968,325.0,4712.799999999974,256.26999999999964,1255.5,81,15.5,15.5,89286.26999999999,5816.249999999968,82.24626153356658,4.012345679012346,5.632616487455172
480,BACARDI USA INC,4200,21053.990000000063,1801.0,14525.829999999769,1419.3499999999854,12119.039999999988,1578,7.68,7.68,89286.26999999999,8934.950000000075,42.438274170359385,1.141318124207858,1.7372654929763482
480,BACARDI USA INC,4214,979.2500000000002,75.0,373.72000000000014,59.059999999999995,847.8400000000001,112,7.57,7.57,89286.26999999999,131.41000000000008,13.419453663518006,0.6696428571428571,1.1549938667673147
480,BACARDI USA INC,4221,137570.20000000315,7630.0,65164.36999999764,14020.45000000042,118310.41999999977,9143,12.94,12.94,89286.26999999999,19259.78000000339,13.999965108724815,0.8345182106529585,1.1627902259158867
480,BACARDI USA INC,4252,7614.089999999716,7691.0,2554.1999999999057,398.5500000000086,3303.2999999999997,4290,0.77,0.77,89286.26999999999,4310.789999999717,56.61595804619958,1.7927738927738928,2.3049950049949195
480,BACARDI USA INC,4259,1852.3800000000003,162.0,567.5200000000003,297.64000000000004,688.86,89,7.74,7.74,89286.26999999999,1163.5200000000004,62.81216597026529,1.8202247191011236,2.6890514763522346
480,BACARDI USA INC,4290,10538.37999999988,962.0,7285.449999999896,758.2199999999995,4808.570000000001,611,7.87,7.87,89286.26999999999,5729.8099999998785,54.37088053381965,1.574468085106383,2.1915829446176054
480,BACARDI USA INC,4304,3342.239999999925,3376.0,1554.3000000000127,173.65000000000003,316.79,401,0.79,0.79,89286.26999999999,3025.4499999999252,90.52162621475397,8.418952618453865,10.550333028188785
480,BACARDI USA INC,4316,287.76,24.0,11.99,18.9,173.76,24,7.24,7.24,89286.26999999999,114.0,39.6163469557965,1.0,1.6560773480662985
480,BACARDI USA INC,4319,409.59000000000015,41.0,309.6900000000001,32.30999999999999,14.58,2,7.29,7.29,89286.26999999999,395.01000000000016,96.4403427818062,20.5,28.092592592592602
480,BACARDI USA INC,4331,659.3400000000003,66.0,529.4700000000003,52.03999999999997,85.68,12,7.14,7.14,89286.26999999999,573.6600000000003,87.00518700518701,5.5,7.695378151260506
480,BACARDI USA INC,4357,399.6000000000002,40.0,369.63000000000017,31.579999999999977,7.46,1,7.46,7.46,89286.26999999999,392.1400000000002,98.13313313313314,40.0,53.565683646112625
480,BACARDI USA INC,4379,5241.059999999798,5294.0,2299.769999999962,272.880000000003,124.10000000000001,170,0.73,0.73,89286.26999999999,5116.959999999797,97.6321583801749,31.141176470588235,42.23255439161803
480,BACARDI USA INC,4881,58504.70999999972,2929.0,22726.620000000356,2307.7499999999754,12529.259999999998,846,14.81,14.81,89286.26999999999,45975.44999999972,78.58418578606738,3.462174940898345,4.669446559493516
480,BACARDI USA INC,4903,38535.420000000486,9658.0,12572.489999999429,2028.1800000000599,9471.0,3300,2.87,2.87,89286.26999999999,29064.420000000486,75.42261119769843,2.9266666666666667,4.068780487804929
480,BACARDI USA INC,5181,59.98,2.0,59.98,1.58,23.99,1,23.99,23.99,89286.26999999999,35.989999999999995,60.00333444481494,2.0,2.500208420175073
480,BACARDI USA INC,6916,374.7500000000001,25.0,314.7900000000001,5.25,11.1,1,11.1,11.1,89286.26999999999,363.6500000000001,97.03802535023348,25.0,33.761261261261275
480,BACARDI USA INC,8358,146906.5100000032,7349.0,82198.88000000219,5788.799999999863,102458.79000000015,7071,14.49,14.49,89286.26999999999,44447.72000000306,30.255786486250397,1.03931551407156,1.4338107057481646
516,BANFI PRODUCTS CORP,199,79.84000000000002,16.0,39.92000000000001,12.59,46.44,12,3.87,3.87,8510.410000000002,33.40000000000002,41.83366733466936,1.3333333333333333,1.7192075796726964
516,BANFI PRODUCTS CORP,6234,53303.880000000536,5912.0,25530.080000001177,1324.3300000000534,51193.04000000012,11276,4.54,4.54,8510.410000000002,2110.8400000004185,3.9600119165816774,0.5242993969492727,1.0412329488539929
516,BANFI PRODUCTS CORP,6344,4511.679999999988,432.0,1950.1000000000015,96.81000000000007,4203.6999999999925,635,6.62,6.62,8510.410000000002,307.979999999995,6.826282005815925,0.6803149606299213,1.0732640293075137
516,BANFI PRODUCTS CORP,6478,17611.639999999872,1836.0,10070.529999999824,409.7400000000048,13149.919999999938,2786,4.72,4.72,8510.410000000002,4461.719999999934,25.333926880176783,0.6590093323761665,1.3392963607383128
516,BANFI PRODUCTS CORP,8364,489.51,49.0,39.96,5.510000000000002,395.89,61,6.49,6.49,8510.410000000002,93.62,19.12524769667627,0.8032786885245902,1.2364798302558793
516,BANFI PRODUCTS CORP,13505,5900.259999999958,574.0,3200.919999999978,63.78999999999988,5109.800000000003,881,5.8,5.8,8510.410000000002,790.4599999999555,13.397036740753137,0.6515323496027242,1.154694899996077
516,BANFI PRODUCTS CORP,13994,7336.9399999999505,706.0,3582.5399999999695,78.51999999999988,7325.400000000011,1263,5.8,5.8,8510.410000000002,11.539999999939937,0.1572862801105095,0.5589865399841647,1.0015753405957273
516,BANFI PRODUCTS CORP,14710,7674.559999999972,444.0,3826.789999999978,49.45999999999994,7369.800000000008,710,10.38,10.38,8510.410000000002,304.75999999996384,3.9710419880744294,0.6253521126760564,1.0413525468805074
516,BANFI PRODUCTS CORP,14711,1175.0200000000004,98.0,659.4500000000004,10.879999999999995,729.2700000000002,111,6.57,6.57,8510.410000000002,445.7500000000002,37.93552450171062,0.8828828828828829,1.6112276660221867
516,BANFI PRODUCTS CORP,16266,59.94,6.0,9.99,1.35,34.8,6,5.8,5.8,8510.410000000002,25.14,41.94194194194195,1.0,1.7224137931034484
516,BANFI PRODUCTS CORP,16708,683.4599999999999,54.0,49.96,6.07,390.41999999999996,54,7.23,7.23,8510.410000000002,293.03999999999996,42.8759547010798,1.0,1.7505763024435224
516,BANFI PRODUCTS CORP,16987,244.44,36.0,13.58,4.050000000000001,168.48,36,4.68,4.68,8510.410000000002,75.96000000000001,31.075110456553762,1.0,1.450854700854701
516,BANFI PRODUCTS CORP,17172,131.77999999999997,22.0,119.79999999999997,2.420000000000001,4.1,1,4.1,4.1,8510.410000000002,127.67999999999998,96.8887539839126,22.0,32.141463414634146
516,BANFI PRODUCTS CORP,18142,55750.70999999996,929.0,27614.90000000025,103.40999999999993,48601.20000000011,1203,40.4,40.4,8510.410000000002,7149.509999999849,12.824069863863356,0.772236076475478,1.1471056270215516
516,BANFI PRODUCTS CORP,18152,77927.25000000045,8175.0,23687.90000000079,915.0900000000273,67238.58000000044,12783,5.26,5.26,8510.410000000002,10688.670000000013,13.716216086157218,0.6395212391457404,1.1589663255827227
516,BANFI PRODUCTS CORP,19000,2287.9799999999987,202.0,1642.560000000001,22.35999999999998,2024.6400000000003,304,6.66,6.66,8510.410000000002,263.3399999999983,11.50971599402086,0.6644736842105263,1.1300675675675667
516,BANFI PRODUCTS CORP,22195,98.88999999999999,11.0,98.88999999999999,1.2100000000000002,63.96,12,5.33,5.33,8510.410000000002,34.929999999999986,35.32207503286479,0.9166666666666666,1.5461225766103812
516,BANFI PRODUCTS CORP,22789,1094.2700000000004,73.0,644.5700000000003,2.1200000000000006,82.72,8,10.34,10.34,8510.410000000002,1011.5500000000004,92.44062251546693,9.125,13.228602514506775
516,BANFI PRODUCTS CORP,22840,2141.86,14.0,1070.93,1.5700000000000003,1677.1999999999998,20,83.86,83.86,8510.410000000002,464.6600000000003,21.694228380939943,0.7,1.277045075125209
516,BANFI PRODUCTS CORP,22841,720.93,7.0,513.9499999999999,0.77,519.4399999999999,8,64.93,64.93,8510.410000000002,201.49,27.9486219189103,0.875,1.3878985060834745
516,BANFI PRODUCTS CORP,22903,18864.22999999993,2177.0,6452.519999999893,243.35000000000113,16783.19999999995,3108,5.4,5.4,8510.410000000002,2081.0299999999806,11.03161910133617,0.7004504504504504,1.123994828161494
516,BANFI PRODUCTS CORP,23079,2050.92,108.0,227.88000000000002,12.159999999999995,1207.2,120,10.06,10.06,8510.410000000002,843.72,41.138610964835294,0.9,1.6989065606361828
516,BANFI PRODUCTS CORP,23172,5473.229999999991,177.0,2630.149999999996,10.099999999999998,3570.000000000001,175,20.4,20.4,8510.410000000002,1903.2299999999905,34.773433603192146,1.0114285714285713,1.5331176470588208
516,BANFI PRODUCTS CORP,24672,2916.8699999999963,213.0,1731.750000000001,47.469999999999985,2674.3500000000017,315,8.49,8.49,8510.410000000002,242.51999999999452,8.314391796685996,0.6761904761904762,1.090683717538839
516,BANFI PRODUCTS CORP,24715,2115.6499999999996,35.0,1091.82,3.8999999999999995,473.64,12,39.47,39.47,8510.410000000002,1642.0099999999998,77.61255406139958,2.9166666666666665,4.466789122540326
516,BANFI PRODUCTS CORP,24873,125.86,14.0,25.97,1.5800000000000003,113.81,19,5.99,5.99,8510.410000000002,12.049999999999997,9.574129985698393,0.7368421052631579,1.1058782180827695
516,BANFI PRODUCTS CORP,26351,71.94,6.0,11.99,1.35,46.44,6,7.74,7.74,8510.410000000002,25.5,35.446205170975816,1.0,1.549095607235142
516,BANFI PRODUCTS CORP,37921,175.92000000000002,8.0,131.94,0.89,14.47,1,14.47,14.47,8510.410000000002,161.45000000000002,91.77467030468395,8.0,12.157567380787837
516,BANFI PRODUCTS CORP,37923,4938.669999999965,433.0,3826.6599999999676,47.86999999999987,4844.359999999997,652,7.43,7.43,8510.410000000002,94.30999999996766,1.9096234411282456,0.6641104294478528,1.019467999900909
516,BANFI PRODUCTS CORP,40666,119.88,12.0,9.99,1.35,82.68,12,6.89,6.89,8510.410000000002,37.19999999999999,31.03103103103102,1.0,1.4499274310595063
516,BANFI PRODUCTS CORP,43799,93.48,12.0,15.58,1.36,61.08,12,5.09,5.09,8510.410000000002,32.400000000000006,34.65982028241336,1.0,1.5304518664047153
653,STATE WINE & SPIRITS,324,65.97,3.0,43.98,2.3600000000000003,48.87,3,16.29,16.29,8014.98,17.1,25.92087312414734,1.0,1.3499079189686924
653,STATE WINE & SPIRITS,950,1199.85,15.0,1039.87,11.829999999999998,294.1,5,58.82,58.82,8014.98,905.7499999999999,75.48860274200942,3.0,4.079734784087044
653,STATE WINE & SPIRITS,1120,383.76,24.0,31.98,18.9,299.76,24,12.49,12.49,8014.98,84.0,21.88868042526579,1.0,1.2802241793434748
653,STATE WINE & SPIRITS,2000,111.92999999999999,7.0,79.95,5.510000000000001,105.03,9,11.67,11.67,8014.98,6.8999999999999915,6.164567140176889,0.7777777777777778,1.0656955155669807
653,STATE WINE & SPIRITS,2002,89.97,3.0,89.97,2.37,86.92,4,21.73,21.73,8014.98,3.049999999999997,3.3900188951872816,0.75,1.0350897376898296
653,STATE WINE & SPIRITS,2087,7302.379999999979,262.0,4738.329999999979,206.5599999999998,2895.7,115,25.18,25.18,8014.98,4406.679999999979,60.345805066293345,2.2782608695652176,2.5218012915702523
653,STATE WINE & SPIRITS,2616,461.7900000000001,21.0,351.8400000000001,16.56,358.8,24,14.95,14.95,8014.98,102.99000000000007,22.3023452218541,0.875,1.2870401337792643
653,STATE WINE & SPIRITS,2719,439.7800000000001,22.0,419.7900000000001,17.369999999999994,201.5,13,15.5,15.5,8014.98,238.2800000000001,54.1816362726818,1.6923076923076923,2.1825310173697274
653,STATE WINE & SPIRITS,2809,919.5400000000002,46.0,399.80000000000007,36.259999999999984,220.5,15,14.7,14.7,8014.98,699.0400000000002,76.02061900515476,3.066666666666667,4.1702494331065765
653,STATE WINE & SPIRITS,2813,1099.4500000000003,55.0,899.5500000000003,43.38999999999998,710.01,49,14.49,14.49,8014.98,389.4400000000003,35.42134703715496,1.1224489795918366,1.54849931691103
653,STATE WINE & SPIRITS,2910,1159.4200000000003,58.0,939.5300000000003,45.74999999999997,926.1000000000001,63,14.7,14.7,8014.98,233.32000000000016,20.123855030963767,0.9206349206349206,1.251938235611705
653,STATE WINE & SPIRITS,2921,1059.4700000000003,53.0,859.5700000000003,41.799999999999976,313.32,21,14.92,14.92,8014.98,746.1500000000003,70.42672279535995,2.5238095238095237,3.3814311247287128
653,STATE WINE & SPIRITS,8058,31.99,1.0,31.99,0.79,23.01,1,23.01,23.01,8014.98,8.979999999999997,28.071272272585173,1.0,1.3902651021295087
653,STATE WINE & SPIRITS,8060,21.99,1.0,21.99,0.11,14.28,1,14.28,14.28,8014.98,7.709999999999999,35.06139154160982,1.0,1.5399159663865545
653,STATE WINE & SPIRITS,9115,9419.05999999994,644.0,5453.28999999995,507.5000000000025,2049.2999999999993,198,10.35,10.35,8014.98,7369.75999999994,78.2430518544312,3.2525252525252526,4.596232860000948
653,STATE WINE & SPIRITS,9118,9500.079999999934,642.0,5753.139999999946,505.96000000000225,2753.0999999999995,266,10.35,10.35,8014.98,6746.979999999935,71.02024404005,2.4135338345864663,3.4506846827212727
653,STATE WINE & SPIRITS,9136,8008.119999999952,538.0,5118.589999999955,424.0900000000014,2345.7699999999986,217,10.81,10.81,8014.98,5662.349999999953,70.70760677911903,2.47926267281106,3.4138555783388638
653,STATE WINE & SPIRITS,9140,3320.489999999992,151.0,2374.9199999999973,119.05000000000017,847.0799999999999,52,16.29,16.29,8014.98,2473.409999999992,74.48930730103082,2.9038461538461537,3.919924918543694
653,STATE WINE & SPIRITS,13494,239.92,8.0,29.99,0.9,165.44,8,20.68,20.68,8014.98,74.47999999999999,31.043681227075687,1.0,1.4501934235976788
653,STATE WINE & SPIRITS,14013,1699.3200000000004,68.0,699.7200000000001,7.580000000000002,452.78999999999996,27,16.77,16.77,8014.98,1246.5300000000004,73.35463597203588,2.5185185185185186,3.752998078579475
653,STATE WINE & SPIRITS,15675,2829.7599999999948,224.0,1841.530000000001,24.809999999999963,2395.1199999999994,329,7.28,7.28,8014.98,434.6399999999953,15.359606468392942,0.6808510638297872,1.1814689869401096
653,STATE WINE & SPIRITS,15677,143.88,12.0,11.99,1.35,95.28,12,7.94,7.94,8014.98,48.599999999999994,33.778148457047536,1.0,1.5100755667506296
653,STATE WINE & SPIRITS,16583,1059.4700000000003,53.0,659.6700000000002,5.8900000000000015,824.11,61,13.51,13.51,8014.98,235.36000000000024,22.214881025418386,0.8688524590163934,1.2855929426896897
653,STATE WINE & SPIRITS,16585,479.8400000000001,16.0,419.86000000000007,1.7600000000000005,253.54,14,18.11,18.11,8014.98,226.3000000000001,47.16155385128377,1.1428571428571428,1.8925613315453187
653,STATE WINE & SPIRITS,16609,711.4,60.0,47.96,6.740000000000001,640.8,72,8.9,8.9,8014.98,70.60000000000002,9.924093337081814,0.8333333333333334,1.1101747815230962
653,STATE WINE & SPIRITS,17196,37.98,2.0,37.98,0.22,24.66,2,12.33,12.33,8014.98,13.319999999999997,35.07109004739336,1.0,1.5401459854014596
653,STATE WINE & SPIRITS,17759,15.99,1.0,15.99,0.11,11.03,1,11.03,11.03,8014.98,4.960000000000001,31.0193871169481,1.0,1.4496826835902086
653,STATE WINE & SPIRITS,18158,131.88,12.0,10.99,1.35,87.36,12,7.28,7.28,8014.98,44.519999999999996,33.75796178343949,1.0,1.5096153846153846
653,STATE WINE & SPIRITS,18732,299.76,24.0,24.98,2.7,101.28,12,8.44,8.44,8014.98,198.48,66.21297037630104,2.0,2.9597156398104265
653,STATE WINE & SPIRITS,18976,917.1700000000002,83.0,300.7300000000001,9.280000000000001,772.8000000000001,96,8.05,8.05,8014.98,144.37000000000012,15.740811409008154,0.8645833333333334,1.1868141821946172
653,STATE WINE & SPIRITS,19276,35044.95000000043,2505.0,18131.03999999998,278.7900000000056,10060.639999999994,1108,9.08,9.08,8014.98,24984.310000000434,71.29218332455926,2.2608303249097474,3.4833718332034986
653,STATE WINE & SPIRITS,19652,538.51,49.0,54.95,5.510000000000001,437.04,72,6.07,6.07,8014.98,101.46999999999997,18.842732725483273,0.6805555555555556,1.232175544572579
653,STATE WINE & SPIRITS,19653,725.34,66.0,98.90999999999998,7.41,564.48,96,5.88,5.88,8014.98,160.86,22.17718587145339,0.6875,1.2849702380952381
653,STATE WINE & SPIRITS,19656,4548.939999999983,506.0,1780.0200000000016,56.43999999999994,224.57999999999998,38,5.91,5.91,8014.98,4324.359999999983,95.06302567191476,13.31578947368421,20.255321043725992
653,STATE WINE & SPIRITS,19925,143.88,12.0,11.99,1.35,98.52,12,8.21,8.21,8014.98,45.36,31.526271893244374,1.0,1.4604141291108403
653,STATE WINE & SPIRITS,19935,3699.3699999999985,463.0,487.3900000000004,52.06,3655.6999999999985,695,5.26,5.26,8014.98,43.67000000000007,1.1804712694323654,0.6661870503597123,1.011945728588232
653,STATE WINE & SPIRITS,19946,959.3600000000004,64.0,509.6600000000002,7.130000000000004,865.9700000000001,89,9.73,9.73,8014.98,93.39000000000021,9.734614743162128,0.7191011235955056,1.1078443825998594
653,STATE WINE & SPIRITS,20118,599.6,40.0,239.84000000000006,4.47,469.20000000000005,46,10.2,10.2,8014.98,130.39999999999998,21.74783188792528,0.8695652173913043,1.2779198635976128
653,STATE WINE & SPIRITS,20165,56.97,3.0,37.98,0.33,36.75,3,12.25,12.25,8014.98,20.22,35.49236440231701,1.0,1.550204081632653
653,STATE WINE & SPIRITS,20192,432.73,27.0,80.94999999999999,3.0300000000000002,330.9000000000001,30,11.03,11.03,8014.98,101.82999999999993,23.53199454625284,0.9,1.3077364762768204
653,STATE WINE & SPIRITS,20333,65.94,6.0,43.96,0.67,21.54,3,7.18,7.18,8014.98,44.4,67.33393994540492,2.0,3.0612813370473537
653,STATE WINE & SPIRITS,20465,1044.81,19.0,549.9,2.12,723.6,20,36.18,36.18,8014.98,321.2099999999999,30.74338875010767,0.95,1.443905472636816
653,STATE WINE & SPIRITS,20466,359.94,6.0,179.97,0.67,122.43,3,40.81,40.81,8014.98,237.51,65.98599766627771,2.0,2.9399656946826758
653,STATE WINE & SPIRITS,20467,649.87,13.0,199.96,1.4500000000000002,335.5,10,33.55,33.55,8014.98,314.37,48.37429024266392,1.3,1.9370193740685544
653,STATE WINE & SPIRITS,20472,383.52,48.0,23.97,5.4,347.76,72,4.83,4.83,8014.98,35.75999999999999,9.324155193992489,0.6666666666666666,1.1028295376121462
653,STATE WINE & SPIRITS,20477,469.53000000000003,47.0,69.93,5.279999999999999,430.98,66,6.53,6.53,8014.98,38.55000000000001,8.210337997572042,0.7121212121212122,1.089447306139496
653,STATE WINE & SPIRITS,20592,287.82,18.0,31.98,2.02,79.44,8,9.93,9.93,8014.98,208.38,72.39941630185533,2.25,3.6231117824773413
653,STATE WINE & SPIRITS,20594,647.76,24.0,53.98,2.7,428.88,24,17.87,17.87,8014.98,218.88,33.79029270100037,1.0,1.51035254616676
653,STATE WINE & SPIRITS,20602,1439.76,24.0,539.91,2.6799999999999997,710.79,19,37.41,37.41,8014.98,728.97,50.631355225870976,1.263157894736842,2.0255771746929474
653,STATE WINE & SPIRITS,20605,167.87999999999997,12.0,153.89,1.32,57.9,6,9.65,9.65,8014.98,109.97999999999996,65.51107934238742,2.0,2.8994818652849736
653,STATE WINE & SPIRITS,20661,719.88,12.0,359.94,1.3400000000000003,287.52,8,35.94,35.94,8014.98,432.36,60.06001000166694,1.5,2.503756260434057
